pano_id,lat,lon,date,source,parent_id,is_historical,best_score,good_matches,inliers,inlier_ratio,coverage,yaw,pitch,target_crop,pano_path,view_path,error
mPZfNumLcRkHv8LHOvCtLA,19.47594569303065,-99.11690928794629,,,,False,831.6168425679207,80,67,0.8375,0.4507697522640228,225,-4,upper_full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_mPZfNumLcRkHv8LHOvCtLA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/mPZfNumLcRkHv8LHOvCtLA.jpg,
xNvV2XiIp5HHXRIax4sO6w,19.47263374393496,-99.11960647092914,,,,False,798.2204301075269,93,64,0.6881720430107527,0.682546079158783,45,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_xNvV2XiIp5HHXRIax4sO6w.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/xNvV2XiIp5HHXRIax4sO6w.jpg,
dk04YyzqLnrFRapkD1o9Lw,19.47478995074495,-99.12198587258857,,,,False,797.78,125,64,0.512,0.5630658864974976,315,-4,upper_full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_dk04YyzqLnrFRapkD1o9Lw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/dk04YyzqLnrFRapkD1o9Lw.jpg,
_qHQRmhmzY6p_7H2LwC8Iw,19.46951694533198,-99.11936281906739,,,,False,795.5529411764707,68,64,0.9411764705882353,0.5093532800674438,0,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1__qHQRmhmzY6p_7H2LwC8Iw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/_qHQRmhmzY6p_7H2LwC8Iw.jpg,
KKqFPIGSGA81EgshSwtQpA,19.47419028785367,-99.11365831917489,,,,False,781.5269692354565,79,63,0.7974683544303798,0.3894432783126831,225,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_KKqFPIGSGA81EgshSwtQpA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/KKqFPIGSGA81EgshSwtQpA.jpg,
CDrcaWYGqCzrr2h4nEY1XQ,19.47402603564337,-99.12287389226559,,,,False,749.3857142857144,84,60,0.7142857142857143,0.5645898580551147,180,-4,upper_full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_CDrcaWYGqCzrr2h4nEY1XQ.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/CDrcaWYGqCzrr2h4nEY1XQ.jpg,
l1LV0D79EZsCVRvtDb7_ew,19.47597121042111,-99.12207139829822,,,,False,745.0642426891761,88,60,0.6818181818181818,0.33865657448768616,90,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_l1LV0D79EZsCVRvtDb7_ew.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/l1LV0D79EZsCVRvtDb7_ew.jpg,
9IMISnv-kMDQVedTYlnsQw,19.47218053714705,-99.11444156522207,,,,False,741.5111458269662,86,60,0.6976744186046512,0.22889865934848785,180,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_9IMISnv-kMDQVedTYlnsQw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/9IMISnv-kMDQVedTYlnsQw.jpg,
Y9fHafiWWe1zKUMFs1BcHA,19.47512886748073,-99.11524313830344,,,,False,710.9423076923077,65,57,0.8769230769230769,0.500784158706665,135,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_Y9fHafiWWe1zKUMFs1BcHA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/Y9fHafiWWe1zKUMFs1BcHA.jpg,
Zw6GVm7r5vYCQGj66DAx4A,19.47854502705487,-99.11681329935823,,,,False,689.8949438202247,89,55,0.6179775280898876,0.6079631447792053,315,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_Zw6GVm7r5vYCQGj66DAx4A.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/Zw6GVm7r5vYCQGj66DAx4A.jpg,
